,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
63,DET,2005,PIT,2006-01-01 13:02:00,Sun,0,0,5-11,AWAY,21.0,35.0,16.0,308.0,203.0,105.0,2.0,20.0,331.0,132.0,199.0,2.0,6.0,-14.69,-9.83
64,DET,2006,SEA,2006-09-10 13:04:00,Sun,0,0.0,0-1,HOME,6.0,9.0,15.0,251.0,213.0,38.0,1.0,17.0,264.0,173.0,91.0,1.0,-9.11,7.66,-1.55
65,DET,2006,CHI,2006-09-17 13:03:00,Sun,0,0.0,0-2,AWAY,7.0,34.0,15.0,245.0,199.0,46.0,3.0,22.0,383.0,294.0,89.0,1.0,-10.87,-12.53,-4.21
66,DET,2006,GNB,2006-09-24 13:02:00,Sun,0,0.0,0-3,HOME,24.0,31.0,23.0,424.0,319.0,105.0,1.0,18.0,400.0,340.0,60.0,2.0,6.9,-8.01,-3.59
67,DET,2006,LAR,2006-10-01 16:05:00,Sun,0,0.0,0-4,AWAY,34.0,41.0,21.0,370.0,277.0,93.0,3.0,23.0,427.0,321.0,106.0,0.0,5.17,-16.25,5.3
68,DET,2006,MIN,2006-10-08 13:05:00,Sun,0,0.0,0-5,AWAY,17.0,26.0,13.0,217.0,201.0,16.0,4.0,18.0,336.0,201.0,135.0,3.0,-20.97,-0.12,12.71
69,DET,2006,BUF,2006-10-15 13:03:00,Sun,1,0.0,1-5,HOME,20.0,17.0,21.0,397.0,262.0,135.0,1.0,16.0,242.0,157.0,85.0,3.0,3.09,7.93,-7.86
70,DET,2006,NYJ,2006-10-22 13:03:00,Sun,0,0.0,1-6,AWAY,24.0,31.0,22.0,386.0,261.0,125.0,2.0,27.0,398.0,177.0,221.0,1.0,14.69,-19.89,-1.4
71,DET,2006,ATL,2006-11-05 13:03:00,Sun,1,0.0,2-6,HOME,30.0,14.0,20.0,435.0,308.0,127.0,1.0,19.0,319.0,154.0,165.0,3.0,7.73,8.17,-0.65
72,DET,2006,SFO,2006-11-12 13:03:00,Sun,0,0.0,2-7,HOME,13.0,19.0,16.0,251.0,180.0,71.0,4.0,17.0,315.0,117.0,198.0,1.0,-9.73,-1.04,6.37
73,DET,2006,ARI,2006-11-19 16:05:00,Sun,0,0.0,2-8,AWAY,10.0,17.0,19.0,281.0,213.0,68.0,1.0,20.0,338.0,228.0,110.0,0.0,-0.9,-9.92,5.62
74,DET,2006,MIA,2006-11-23 12:30:00,Thu,0,0.0,2-9,HOME,10.0,27.0,13.0,220.0,199.0,21.0,2.0,18.0,395.0,209.0,186.0,2.0,-20.95,-2.28,1.33
75,DET,2006,NWE,2006-12-03 13:02:00,Sun,0,0.0,2-10,AWAY,21.0,28.0,22.0,361.0,284.0,77.0,5.0,23.0,363.0,284.0,79.0,3.0,-7.79,-1.47,2.54
76,DET,2006,MIN,2006-12-10 13:03:00,Sun,0,0.0,2-11,HOME,20.0,30.0,20.0,280.0,283.0,-3.0,6.0,21.0,328.0,156.0,172.0,2.0,-17.91,2.88,5.74
77,DET,2006,GNB,2006-12-17 13:02:00,Sun,0,0.0,2-12,AWAY,9.0,17.0,10.0,142.0,84.0,58.0,3.0,19.0,303.0,164.0,139.0,4.0,-29.68,11.88,6.06
78,DET,2006,CHI,2006-12-24 13:03:00,Sun,0,0.0,2-13,HOME,21.0,26.0,18.0,327.0,260.0,67.0,1.0,22.0,354.0,238.0,116.0,0.0,2.25,-4.27,1.72
79,DET,2006,DAL,2006-12-31 13:02:00,Sun,1,0.0,3-13,AWAY,39.0,31.0,22.0,362.0,277.0,85.0,1.0,19.0,365.0,307.0,58.0,4.0,8.62,-2.43,0.49
80,DET,2007,LVR,2007-09-09 16:15:00,Sun,1,0,1-0,AWAY,36.0,21.0,21.0,392.0,284.0,108.0,2.0,24.0,375.0,283.0,92.0,3.0,4.01,0.95,12.18
81,DET,2007,MIN,2007-09-16 16:05:00,Sun,1,1,2-0,HOME,20.0,17.0,29.0,415.0,359.0,56.0,5.0,17.0,313.0,190.0,123.0,5.0,-1.4,10.8,-7.52
82,DET,2007,PHI,2007-09-23 13:02:00,Sun,0,0,2-1,AWAY,21.0,56.0,20.0,432.0,393.0,39.0,3.0,29.0,536.0,363.0,173.0,2.0,-2.75,-29.38,-1.28
83,DET,2007,CHI,2007-09-30 13:03:00,Sun,1,0,3-1,HOME,37.0,27.0,19.0,310.0,215.0,95.0,2.0,22.0,303.0,234.0,69.0,3.0,1.0,14.85,-7.84
84,DET,2007,WAS,2007-10-07 13:02:00,Sun,0,0,3-2,AWAY,3.0,34.0,11.0,144.0,76.0,68.0,2.0,23.0,366.0,248.0,118.0,1.0,-22.81,-9.06,1.96
85,DET,2007,TAM,2007-10-21 13:03:00,Sun,1,0,4-2,HOME,23.0,16.0,17.0,278.0,131.0,147.0,0.0,27.0,422.0,298.0,124.0,2.0,8.73,-6.7,6.8
86,DET,2007,CHI,2007-10-28 13:05:00,Sun,1,0,5-2,AWAY,16.0,7.0,22.0,365.0,246.0,119.0,1.0,16.0,255.0,192.0,63.0,4.0,4.59,11.83,-8.8
87,DET,2007,DEN,2007-11-04 13:02:00,Sun,1,0,6-2,HOME,44.0,7.0,20.0,376.0,246.0,130.0,1.0,16.0,303.0,256.0,47.0,4.0,12.24,26.1,-1.55
