,team,year,opp,dt_date,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
95,JAX,2007,LVR,2007-12-23 00:00:00,2007-12-23 13:02:00,Sun,1,0.0,11-4,HOME,49.0,11.0,26.0,437.0,236.0,201.0,2.0,13.0,215.0,105.0,110.0,4.0,22.11,18.75,-1.57
96,JAX,2007,HOU,2007-12-30 00:00:00,2007-12-30 13:02:00,Sun,0,0.0,11-5,AWAY,28.0,42.0,24.0,381.0,285.0,96.0,1.0,19.0,290.0,120.0,170.0,1.0,19.65,-13.42,-16.68
97,JAX,2007,PIT,2007-01-05 00:00:00,2007-01-05 20:13:00,Sat,1,0.0,12-5,AWAY,31.0,29.0,14.0,239.0,104.0,135.0,2.0,24.0,340.0,297.0,43.0,4.0,-4.71,7.31,5.52
98,JAX,2007,NWE,2007-01-12 00:00:00,2007-01-12 20:15:00,Sat,0,0.0,12-6,AWAY,20.0,31.0,22.0,350.0,270.0,80.0,2.0,24.0,403.0,258.0,145.0,0.0,13.05,-25.54,2.44
99,JAX,2008,TEN,2008-09-07 00:00:00,2008-09-07 13:05:00,Sun,0,0,0-1,AWAY,10.0,17.0,13.0,189.0,156.0,33.0,3.0,14.0,309.0,172.0,137.0,2.0,-16.63,10.51,-1.44
100,JAX,2008,BUF,2008-09-14 00:00:00,2008-09-14 13:03:00,Sun,0,0,0-2,HOME,16.0,20.0,18.0,243.0,145.0,98.0,2.0,18.0,285.0,210.0,75.0,1.0,-2.38,-4.41,4.95
101,JAX,2008,IND,2008-09-21 00:00:00,2008-09-21 16:15:00,Sun,1,0,1-2,AWAY,23.0,21.0,25.0,403.0,167.0,236.0,1.0,19.0,325.0,211.0,114.0,2.0,9.78,-5.71,-3.31
102,JAX,2008,HOU,2008-09-28 00:00:00,2008-09-28 13:02:00,Sun,1,1,2-2,HOME,30.0,27.0,21.0,375.0,236.0,139.0,0.0,23.0,386.0,307.0,79.0,0.0,18.99,-20.98,4.39
103,JAX,2008,PIT,2008-10-05 00:00:00,2008-10-05 20:23:00,Sun,0,0,2-3,HOME,21.0,26.0,14.0,213.0,175.0,38.0,0.0,28.0,415.0,286.0,129.0,1.0,-2.06,-8.31,1.09
104,JAX,2008,DEN,2008-10-12 00:00:00,2008-10-12 16:05:00,Sun,1,0,3-3,AWAY,24.0,17.0,26.0,416.0,261.0,155.0,2.0,19.0,323.0,192.0,131.0,3.0,9.81,3.67,-4.37
105,JAX,2008,CLE,2008-10-26 00:00:00,2008-10-26 16:05:00,Sun,0,0,3-4,HOME,17.0,23.0,23.0,380.0,267.0,113.0,1.0,15.0,327.0,236.0,91.0,0.0,8.94,-7.2,-6.56
106,JAX,2008,CIN,2008-11-02 00:00:00,2008-11-02 13:02:00,Sun,0,0,3-5,AWAY,19.0,21.0,9.0,282.0,214.0,68.0,1.0,20.0,312.0,153.0,159.0,2.0,-8.42,-5.41,10.84
107,JAX,2008,DET,2008-11-09 00:00:00,2008-11-09 13:02:00,Sun,1,0,4-5,AWAY,38.0,14.0,24.0,384.0,227.0,157.0,0.0,13.0,256.0,153.0,103.0,1.0,23.33,1.79,-0.07
108,JAX,2008,TEN,2008-11-16 00:00:00,2008-11-16 16:15:00,Sun,0,0,4-6,HOME,14.0,24.0,17.0,257.0,117.0,140.0,1.0,13.0,344.0,230.0,114.0,1.0,-11.32,0.0,0.8
109,JAX,2008,MIN,2008-11-23 00:00:00,2008-11-23 13:05:00,Sun,0,0,4-7,HOME,12.0,30.0,17.0,321.0,286.0,35.0,5.0,15.0,226.0,104.0,122.0,1.0,-10.88,3.26,-8.39
110,JAX,2008,HOU,2008-12-01 00:00:00,2008-12-01 20:40:00,Mon,0,0,4-8,AWAY,17.0,30.0,21.0,388.0,262.0,126.0,3.0,18.0,326.0,200.0,126.0,1.0,-5.59,-0.67,-8.31
111,JAX,2008,CHI,2008-12-07 00:00:00,2008-12-07 13:02:00,Sun,0,0,4-9,AWAY,10.0,23.0,14.0,278.0,159.0,119.0,1.0,16.0,296.0,210.0,86.0,1.0,-16.61,3.97,0.17
112,JAX,2008,GNB,2008-12-14 00:00:00,2008-12-14 13:04:00,Sun,1,0,5-9,HOME,20.0,16.0,18.0,323.0,229.0,94.0,0.0,18.0,338.0,254.0,84.0,1.0,10.0,-5.66,-1.4
113,JAX,2008,IND,2008-12-18 00:00:00,2008-12-18 20:15:00,Thu,0,0,5-10,HOME,24.0,31.0,28.0,409.0,304.0,105.0,1.0,20.0,396.0,364.0,32.0,0.0,14.9,-21.67,1.68
